latitude,longitude,resource_type,access,supervisor_district,analysis_neighborhood,needles_within_500m,encampments_within_500m
37.72928423,-122.40970257,drinking_water,publicly_accessible,9.0,Portola,30,16
37.78266867,-122.41594618,drinking_water,publicly_accessible,5.0,Tenderloin,4907,75
37.75856332910622,-122.42641901416428,restroom,publicly_accessible,8.0,Castro/Upper Market,682,0
37.76735541,-122.5080082,drinking_water,publicly_accessible,4.0,Golden Gate Park,43,58
37.75196896600005,-122.41982646399998,drinking_water,limited_access,9.0,Mission,657,13
37.77662044551919,-122.43391065502786,restroom,publicly_accessible,5.0,Hayes Valley,441,3
37.72214673,-122.42056917,drinking_water,publicly_accessible,9.0,McLaren Park,4,14
37.76820061034034,-122.45894632494796,restroom,publicly_accessible,7.0,Golden Gate Park,71,5
37.76334875500004,-122.47631075399994,drinking_water,limited_access,7.0,Inner Sunset,75,26
37.72659366900007,-122.474493769,drinking_water,limited_access,7.0,West of Twin Peaks,36,16
37.7515012,-122.42887882,drinking_water,publicly_accessible,8.0,Noe Valley,101,0
37.80648339185096,-122.43453399335982,restroom,publicly_accessible,2.0,Marina,136,3
37.77712702,-122.40618904,drinking_water,publicly_accessible,6.0,South of Market,3609,45
37.791240040000005,-122.43819734,drinking_water,publicly_accessible,2.0,Pacific Heights,173,0
37.76980758446106,-122.46865066589552,restroom,publicly_accessible,7.0,Golden Gate Park,60,17
37.78697197,-122.46779969,drinking_water,publicly_accessible,1.0,Inner Richmond,105,9
37.73248467100007,-122.39108620099996,drinking_water,limited_access,10.0,Bayview Hunters Point,179,27
37.76633375,-122.45492152,drinking_water,publicly_accessible,5.0,Golden Gate Park,176,9
37.7759467,-122.42445426,drinking_water,publicly_accessible,5.0,Hayes Valley,4016,28
37.77536972800005,-122.393097384,drinking_water,limited_access,6.0,Mission Bay,421,9
37.77044558810346,-122.46944634056555,restroom,publicly_accessible,7.0,Golden Gate Park,58,20
37.7603081,-122.5091618,restroom,publicly_accessible,4.0,Sunset/Parkside,84,60
37.75124303,-122.43900085,drinking_water,publicly_accessible,8.0,Noe Valley,80,1
37.728901840000006,-122.49374164,drinking_water,publicly_accessible,7.0,Lakeshore,11,10
37.783196,-122.461368,drinking_water,publicly_accessible,1.0,Inner Richmond,161,13
37.719149523186175,-122.4126962340035,restroom,publicly_accessible,9.0,McLaren Park,5,13
37.780618140084194,-122.4258541610206,restroom,publicly_accessible,5.0,Western Addition,1883,19
37.74168341043762,-122.4653079501994,restroom,publicly_accessible,7.0,West of Twin Peaks,54,3
37.7370245859576,-122.44076950422266,restroom,publicly_accessible,8.0,Glen Park,21,0
37.76379718,-122.41555594,drinking_water,publicly_accessible,9.0,Mission,2552,66
37.76059,-122.38563,restroom,limited_access,10.0,Potrero Hill,113,1
37.76302,-122.38734,out_of_service,limited_access,10.0,Potrero Hill,104,2
37.76807818,-122.45792483,drinking_water,publicly_accessible,7.0,Golden Gate Park,97,7
37.76948934,-122.4847777,drinking_water,publicly_accessible,4.0,Golden Gate Park,23,22
